Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
12/31/78,207.8,129.2,,104.6,,,,,207.8,,,,,,,,,129.2,,207.8,,,,
1/31/79,227.3,139.5,"44,853.1",113.3,269.5,378.8,"1,852.8",,227.3,,754.1,"1,41,796.4",869.4,"4,582.2",,,"1,11,186.6",139.5,,227.3,197.0,,269.5,198.6
2/28/79,245.7,151.3,"49,213.2",122.5,293.2,410.6,"2,010.4",,245.7,,822.3,"1,53,099.6",939.1,"4,949.5",,,"1,18,284.0",151.3,,245.7,209.9,,293.2,216.7
3/30/79,242.1,149.3,"49,989.4",118.8,284.2,407.3,"1,974.9",,242.1,,810.1,"1,51,068.5",926.2,"4,884.5",,,"1,16,507.1",149.3,,242.1,204.4,,284.2,215.9
4/30/79,239.2,148.8,"51,707.2",115.4,274.2,410.5,"1,960.9",,239.2,,817.3,"1,49,744.3",919.9,"4,842.6",,,"1,15,555.9",148.8,,239.2,202.8,,274.2,215.8
5/31/79,257.6,161.0,"56,429.3",125.2,297.7,445.4,"2,119.4",,257.6,,870.7,"1,60,957.0",983.5,"5,208.5",,,"1,24,738.2",161.0,,257.6,217.6,,297.7,233.0
6/29/79,279.1,173.0,"61,069.3",132.1,327.4,474.5,"2,248.9",,279.1,,941.3,"1,72,550.1","1,064.8","5,592.2",,,"1,32,563.7",173.0,,279.1,235.6,,327.4,251.1
7/31/79,294.7,178.2,"63,843.1",130.5,343.0,486.1,"2,309.7",,294.7,,980.4,"1,82,837.9","1,109.8","5,881.5",,,"1,37,305.9",178.2,,294.7,248.5,,343.0,261.4
8/31/79,300.8,182.0,"65,530.2",134.5,352.0,498.5,"2,409.8",,300.8,,"1,024.8","1,90,103.6","1,147.1","6,194.9",,,"1,48,383.2",182.0,,300.8,252.0,,352.0,266.6
9/28/79,355.1,212.4,"78,779.2",161.6,413.0,571.4,"2,865.0",,355.1,,"1,189.7","2,21,560.7","1,343.1","7,260.9",,,"1,75,525.8",212.4,,355.1,294.6,,413.0,314.7
