,Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Market Cap,Unnamed: 10,3 months ago,Unnamed: 12,Employees
0,AAPL,Apple Inc,364.11,0,0.00%,370.47,363.64,28510301,07/02/20,1578000000000,5.5%,1100000000000,30.29%,137000
1,MSFT,Microsoft Corp,206.26,1.56,0.76%,208.02,205,29315699,07/02/20,1564000000000,5.4%,1200000000000,23.27%,144000
2,AMZN,Amazon.com Inc,2890.3,11.6,0.40%,2955.56,2871.1,6593300,07/02/20,1442000000000,5.0%,972910000000,32.53%,798000
3,GOOGL,Alphabet Cl A,1469.93,27.93,1.94%,1488.52,1451.06,2860900,07/02/20,1002000000000,3.5%,795030000000,20.66%,118899
4,GOOG,Alphabet Cl C,1464.7,26.66,1.85%,1482.95,1446.42,1859400,07/02/20,1002000000000,3.5%,795030000000,20.66%,118899
5,FB,Facebook Inc,233.42,-4.13,-1.74%,240,232.61,30633600,07/02/20,665037000000,2.3%,475550000000,28.49%,44942
6,BRK.B,Berkshire Hathaway Cl B,178.83,0.84,0.47%,180.94,178.24,5165900,07/02/20,434083000000,1.5%,442720000000,-1.99%,391500
7,V,Visa Inc,195.67,1.89,0.98%,197.92,195,6299200,07/02/20,429807000000,1.5%,354810000000,17.45%,19500
8,JNJ,Johnson & Johnson,140.97,0.59,0.42%,141.84,140.33,5152200,07/02/20,371646000000,1.3%,345190000000,7.12%,132200
9,WMT,Wal-Mart Stores,119.21,-0.48,-0.40%,120.88,118.86,5898500,07/02/20,337597000000,1.2%,344230000000,-1.96%,2200000
10,MA,Mastercard Inc,302.42,1.25,0.42%,306.89,301.31,3290100,07/02/20,303551000000,1.1%,242530000000,20.10%,11400
11,PG,Procter & Gamble Company,120.88,0.9,0.75%,122.57,120.53,6150800,07/02/20,299255000000,1.0%,272320000000,9.00%,97000
12,UNH,Unitedhealth Group Inc,298.26,0.53,0.18%,303.08,297.18,1971900,07/02/20,282864000000,1.0%,236160000000,16.51%,325000
13,JPM,JP Morgan Chase & Company,92.66,-0.6,-0.64%,94.96,91.93,27845602,07/02/20,282337000000,1.0%,274320000000,2.84%,256981
14,HD,Home Depot,248.5,0.35,0.14%,252.3,247.92,3369700,07/02/20,267267000000,0.9%,248820000000,6.90%,415000
