#,Country,Total Cases,Total Deaths,Total Tests,Population
1,USA,"54,78,009","1,71,568","6,93,69,436","331,240,477"
2,Brazil,"32,78,895","1,06,571","1,34,64,336","212,743,668"
3,India,"25,45,062","49,323","2,85,63,095","1,381,641,319"
4,Russia,"9,17,884","15,617","3,22,00,000","145,942,287"
5,South Africa,"5,79,140","11,556","33,51,111","59,397,910"
6,Peru,"5,16,296","25,856","27,05,122","33,026,361"
7,Mexico,"5,11,369","55,908","11,56,852","129,095,750"
8,Colombia,"4,45,111","14,492","21,04,766","50,948,110"
9,Chile,"3,82,111","10,340","19,60,210","19,136,096"
10,Spain,"3,58,843","28,617","74,72,031","46,757,043"
11,Iran,"3,41,070","19,492","28,36,252","84,121,121"
12,UK,"3,16,367","41,358","1,41,42,736","67,929,807"
13,Saudi Arabia,"2,97,315","3,369","42,02,076","34,877,777"
14,Pakistan,"2,88,047","6,162","22,53,131","221,389,758"
15,Argentina,"2,82,437","5,527","9,30,097","45,245,940"
16,Bangladesh,"2,74,525","3,625","13,41,648","164,887,237"
17,Italy,"2,52,809","35,234","74,67,487","60,450,632"
18,Turkey,"2,46,861","5,934","55,92,072","84,448,157"
19,Germany,"2,23,780","9,289","85,86,648","83,817,100"
20,France,"2,12,211","30,406","60,00,000","65,291,454"
21,Iraq,"1,72,583","5,785","12,63,650","40,325,802"
22,Philippines,"1,57,918","2,600","20,03,875","109,754,602"
23,Indonesia,"1,37,468","6,071","18,62,801","273,871,547"
24,Canada,"1,21,652","9,020","46,85,663","37,782,247"
25,Qatar,"1,14,809",192,"5,46,285","28,07,805"
26,Kazakhstan,"1,02,287","1,269","22,52,153","18,803,575"
27,Ecuador,"99,409","6,030","2,80,484","17,674,683"
28,Bolivia,"97,950","3,939","2,08,523","11,691,940"
29,Egypt,"96,220","5,124","1,35,000","102,558,777"
30,Israel,"91,080",665,"20,71,380","91,97,590"
31,Ukraine,"89,719","2,044","12,73,821","43,700,145"
32,China,"84,808","4,634","9,04,10,000","1,43,93,23,776"
33,Dominican Republic,"84,488","1,409","3,13,291","10,861,024"
34,Sweden,"84,294","5,783","9,17,036","10,106,970"
35,Oman,"82,924",562,"3,09,212","5,121,294"
36,Panama,"79,402","1,734","2,64,046","4,322,767"
37,Belgium,"77,113","9,924","19,62,386","11,595,839"
38,Kuwait,"75,185",494,"5,52,581","4,278,040"
39,Romania,"69,374","2,954","15,02,042","19,221,234"
40,Belarus,"69,308",603,"14,02,346","9,448,933"
41,UAE,"64,102",361,"59,29,093","9,904,690"
42,Netherlands,"62,495","6,169","11,95,475","17,139,582"
43,Guatemala,"61,428","2,341","1,97,068","17,954,153"
44,Poland,"56,090","1,869","23,07,735","37,841,399"
45,Singapore,"55,661",27,"16,10,906","5,855,936"
46,Portugal,"53,981","1,775","17,99,226","10,192,946"
47,Japan,"52,217","1,073","11,07,537","126,427,433"
48,Honduras,"49,467","1,548","1,21,168","9,923,149"
49,Nigeria,"48,445",973,"3,44,397","206,718,314"
50,Bahrain,"46,052",169,"9,54,192","1,707,969"
